,released_date,budget,gross
521,1984-12-14,22000000.0,28744356.0
522,1984-11-16,700000.0,14418922.0
523,1984-02-17,20500000.0,18644570.0
524,1984-08-17,20500000.0,12145169.0
525,1984-10-19,20500000.0,2912945.0
526,1984-08-03,21000000.0,8103330.0
527,1984-10-05,20500000.0,34901614.0
528,1984-08-31,7000000.0,8914881.0
529,1984-06-29,20000000.0,28078073.0
530,1984-10-04,90000.0,2436000.0
531,1984-03-16,9000000.0,14255801.0
532,1985-02-01,16000000.0,27201487.0
533,1984-07-27,7200000.0,70263155.0
534,1984-03-09,7500000.0,5142858.0
535,1985-03-08,20500000.0,876775.0
536,1984-08-17,25000000.0,5778353.0
537,1984-11-16,2550000.0,22812411.0
538,1984-03-30,30000000.0,45858563.0
539,1984-07-13,20500000.0,25534703.0
540,1984-09-28,20500000.0,11020375.0
541,1984-11-21,12000000.0,11129057.0
542,1985-01-25,20500000.0,1337274.0
543,1984-05-04,20500000.0,38682707.0
544,1984-12-21,12000000.0,1455045.0
545,1985-04-19,2000000.0,4389334.0
546,1985-01-18,5500000.0,20208496.0
547,1984-07-20,20500000.0,2193612.0
548,1984-08-10,20500000.0,20208496.0
549,1984-03-23,6500000.0,6045647.0
550,1984-11-09,1065000.0,2491460.0
551,1984-06-22,8000000.0,6836201.0
552,1984-09-21,20500000.0,36403064.0
553,1984-08-03,20500000.0,4743119.0
554,1984-04-06,20500000.0,10530000.0
555,1984-02-03,20500000.0,8289916.0
556,1984-08-17,20500000.0,48143579.0
557,1984-06-22,28000000.0,21435321.0
558,1984-12-21,20500000.0,23859382.0
559,1984-04-06,20500000.0,11708269.0
560,1984-04-13,15000000.0,6650206.0
561,1984-06-08,9500000.0,16595791.0
562,1984-08-03,20500000.0,4463841.0
563,1984-12-21,20500000.0,15101131.0
564,1984-10-19,13000000.0,6551987.0
565,1984-03-16,20500000.0,11302884.0
566,1984-04-06,13000000.0,25068724.0
567,1984-09-14,20500000.0,7610785.0
568,1984-09-07,20500000.0,2886225.0
569,1984-09-21,4600000.0,13102025.0
570,1984-10-26,8000000.0,6250994.0
571,1986-05-02,20500000.0,20208496.0
572,1984-10-05,9000000.0,27774237.0
573,1987-05-18,20500000.0,20208496.0
574,1985-01-11,18000000.0,11489982.0
575,1984-11-16,20500000.0,150463.0
576,1984-11-02,6000000.0,21821347.0
577,1984-10-10,20500000.0,1057368.0
578,1984-07-27,20500000.0,5410972.0
579,1984-02-17,20500000.0,17513452.0
580,1984-09-28,6000000.0,12414210.0
581,1984-12-07,25000000.0,38348988.0
582,1984-06-13,20500000.0,2556800.0
583,1984-04-13,20500000.0,7343032.0
584,1984-08-31,10000000.0,3854833.0
585,1984-10-19,20500000.0,7828841.0
586,1985-03-01,3000000.0,727639.0
587,1984-10-04,20500000.0,2732684.0
588,1984-08-24,20500000.0,8793152.0
589,1984-10-19,9000000.0,10435015.0
590,1984-09-14,350000.0,3677209.0
591,1984-11-09,20500000.0,4994094.0
592,1984-01-27,8000000.0,10600497.0
593,1984-07-20,18000000.0,19265302.0
594,1984-12-21,15100000.0,26080861.0
595,1984-12-21,12000000.0,26186631.0
596,1984-09-14,20500000.0,3739406.0
597,1984-10-26,20500000.0,5021751.0
598,1984-01-27,20500000.0,5718573.0
599,1984-08-29,700000.0,2490233.0
600,1984-05-18,20500000.0,4561346.0
601,1984-08-29,20500000.0,15726.0
602,1984-02-10,12000000.0,19928200.0
603,1984-09-28,10000000.0,2773433.0
604,1985-02-08,11000000.0,4385312.0
605,1984-10-12,20500000.0,1493782.0
606,1984-09-29,20500000.0,9640000.0
607,1984-07-27,20500000.0,3772785.0
608,1984-08-31,20500000.0,2075282.0
609,1984-10-23,9000000.0,1393501.0
610,1984-10-14,20500000.0,865915.0
611,1984-05-18,7000000.0,1467396.0
612,1984-10-05,20500000.0,1009700.0
613,1984-09-28,20500000.0,1689501.0
